,lon,lat,new_time,trip_id
5006,-80.22925,40.5337,2019-08-01 12:15:33-04:00,24
5008,-80.22994,40.532505,2019-08-01 12:15:42-04:00,24
5009,-80.23023,40.532025,2019-08-01 12:15:45-04:00,24
5010,-80.230575,40.531555,2019-08-01 12:15:48-04:00,24
5011,-80.231,40.53111,2019-08-01 12:15:51-04:00,24
5012,-80.23211,40.53038,2019-08-01 12:15:57-04:00,24
5013,-80.233435,40.529925,2019-08-01 12:16:03-04:00,24
5014,-80.236215,40.52953,2019-08-01 12:16:15-04:00,24
5015,-80.23902,40.529015,2019-08-01 12:16:27-04:00,24
5016,-80.239735,40.528895,2019-08-01 12:16:30-04:00,24
5017,-80.24101,40.528735,2019-08-01 12:16:36-04:00,24
5018,-80.241525,40.528695,2019-08-01 12:16:39-04:00,24
5019,-80.242055,40.52866,2019-08-01 12:16:43-04:00,24
5020,-80.242655,40.528605,2019-08-01 12:16:53-04:00,24
5021,-80.2428,40.52859,2019-08-01 12:17:07-04:00,24
5022,-80.24311,40.52854,2019-08-01 12:17:10-04:00,24
5023,-80.243535,40.528455,2019-08-01 12:17:13-04:00,24
5024,-80.244035,40.528315,2019-08-01 12:17:16-04:00,24
5025,-80.24456,40.528135,2019-08-01 12:17:19-04:00,24
5026,-80.24511,40.5279,2019-08-01 12:17:22-04:00,24
5027,-80.245665,40.52761,2019-08-01 12:17:25-04:00,24
5028,-80.246235,40.52731,2019-08-01 12:17:28-04:00,24
5029,-80.246845,40.527035,2019-08-01 12:17:31-04:00,24
5030,-80.24751,40.526795,2019-08-01 12:17:34-04:00,24
5007,-80.22945,40.533355,2019-08-01 12:15:36-04:00,24
5005,-80.229095,40.53395,2019-08-01 12:15:30-04:00,24
4980,-80.217705,40.54286,2019-08-01 12:13:38-04:00,24
5004,-80.228975,40.534125,2019-08-01 12:15:25-04:00,24
4981,-80.217645,40.54258,2019-08-01 12:13:41-04:00,24
4982,-80.217655,40.54222,2019-08-01 12:13:44-04:00,24
4983,-80.217725,40.541805,2019-08-01 12:13:47-04:00,24
4984,-80.217925,40.541355,2019-08-01 12:13:50-04:00,24
4985,-80.218285,40.540905,2019-08-01 12:13:53-04:00,24
4986,-80.218775,40.54049,2019-08-01 12:13:56-04:00,24
4987,-80.219305,40.540065,2019-08-01 12:13:59-04:00,24
4988,-80.21985,40.539625,2019-08-01 12:14:02-04:00,24
